Evaluator,Customer,One-Way Miles,Round-Trip Miles,Drive Time (min), 2026 Cost , Bonus , Total 
Buchinger,Reconn,348.98,697.96,680.6, $506.02 , $-   , $981.02 
Buchinger,Rev Lng,57.48,114.96,118.2, $83.35 , $-   , $83.35 
Buchinger,Rh White,389.06,778.12,688.7, $564.14 , $-   ," $1,039.14 "
Buchinger,Rhode Island Energy,419.89,839.79,749.2, $608.85 , $-   ," $1,333.85 "
Buchinger,Riggs Distler & Co.,91.76,183.51,233.9, $133.04 , $-   , $358.04 
Buchinger,Riley Brothers,439.97,879.94,794, $637.96 , $-   ," $1,362.96 "
Buchinger,Rj Devco,435.75,871.49,778.4, $631.83 , $-   ," $1,356.83 "
Buchinger,Rj Forbes Painting Contractor,430.9,861.8,775, $624.81 , $-   ," $1,349.80 "
Buchinger,Safeway Construction Enterprises,304.37,608.75,593.6, $441.34 , $-   , $916.34 
Buchinger,Sargis Associates,351.82,703.63,652.2, $510.13 , $-   , $985.13 
Buchinger,Seaford Avenue Corp,333.72,667.43,656.4, $483.89 , $-   , $958.89 
Buchinger,Shaun B. Kalba Enterprises,289.76,579.52,531.1, $420.15 , $-   , $895.15 
Buchinger,Southern Cross (NGA),292.49,584.97,537.1, $424.10 , $-   , $899.10 
Buchinger,Storti Quality Services,289.72,579.44,549.8, $420.09 , $-   , $895.09 
Buchinger,Sullivan Trail,65.88,131.76,125.5, $95.53 , $-   , $95.53 
Buchinger,T&K Harrington,139.87,279.74,264.7, $202.81 , $-   , $427.81 
Buchinger,Tectonic Engineering Consultants,261.46,522.91,477.3, $379.11 , $-   , $854.11 
Buchinger,Titanic Underground Contractors Corp. (Nga),254.48,508.95,483.8, $368.99 , $-   , $843.99 
Buchinger,Tri-Mont Engineering,461.72,923.43,830, $669.49 , $-   ," $1,394.49 "
Buchinger,Tucker Mechanical Inc,344.9,689.81,635.2, $500.11 , $-   , $975.11 
Buchinger,Turner Underground Installations,50.15,100.3,101.3, $72.72 , $-   , $72.72 
Buchinger,Ulc Technologies,341.1,682.2,662.6, $494.60 , $-   , $969.60 
Buchinger,Unitil,472.68,945.35,854.3, $685.38 , $-   ," $1,410.38 "
Buchinger,Usic (Nga),47.99,95.97,133, $69.58 , $-   , $69.58 
Buchinger,Vermont Gas Systems,346.67,693.33,743.1, $502.66 , $-   , $977.66 
Buchinger,Wdf,307.12,614.23,573, $445.32 , $-   , $920.32 
Buchinger,Westfield Gas & Electric,338.86,677.73,597.9, $491.35 , $-   , $966.35 
Buchinger,Whispering Pines Development,263.71,527.43,485.9, $382.39 , $-   , $857.39 
Buchinger,Whitewater,389.03,778.07,688.1, $564.10 , $-   ," $1,039.10 "
Buchinger,Wsm Construction,342.05,684.09,629.4, $495.97 , $-   , $970.97 
Buchinger,Xpress Natural Gas,201.18,402.36,356.5, $291.71 , $-   , $766.71 
Buchinger,Young Management & Consulting,315.02,630.05,605.7, $456.79 , $-   , $931.79 
Gray,A And G Industrial Services,92.84,185.67,217, $134.61 , $-   , $359.61 
Gray,AGI Construction,105.73,211.46,230.1, $153.31 , $-   , $378.31 
Gray,Atmospheric Corrosion Specialists,235.87,471.75,479.8, $342.02 , $-   , $817.02 
Gray,Avangrid Adams Ma,146.33,292.66,347.7, $212.18 , $-   , $437.18 
Gray,Avangrid East Hartford Ct,138.75,277.49,283.6, $201.18 , $-   , $426.18 
Gray,Avangrid Rochester Ny,436.07,872.15,803.2, $632.31 , $-   ," $1,357.31 "
Gray,Avangrid Trumbull,189.74,379.49,380, $275.13 , $-   , $500.13 
Gray,Bancker Construction,279.56,559.11,575.3, $405.35 , $-   , $880.35 
Gray,Barber Utilities,127.8,255.61,277.6, $185.32 , $-   , $410.32 
Gray,Bay State Piping Company Inc. (NGA),71.82,143.63,173.4, $104.13 , $-   , $104.13 
Gray,Berkshire Gas,166.07,332.14,373.6, $240.80 , $-   , $465.80 
Gray,Bermex Inc,433.12,866.23,801.2, $628.02 , $-   ," $1,353.02 "
